OrderID,OrderDate,CustomerID,ProductID,ManagerID,Quantity,UnitPrice,DiscountPct,Cost
O10033,2024-04-02,C1305,P1068,M104,5,51.67,0.0,39.95
O10034,2025-01-29,C1216,P1035,M105,1,118.37,0.0,83.32
O10035,2025-06-25,C1193,P1048,M100,4,956.85,0.2,704.15
O10035,2025-06-25,C1193,P1014,M100,3,592.67,0.1,457.02
O10036,2025-07-10,C1280,P1020,M105,2,175.36,0.15,91.1
O10036,2025-07-10,C1280,P1035,M105,4,839.45,0.2,628.91
O10036,2025-07-10,C1280,P1089,M105,2,56.48,0.0,31.98
O10037,2024-08-07,C1393,P1038,M101,1,957.7,0.2,495.47
O10037,2024-08-07,C1393,P1017,M101,1,523.08,0.15,417.66
O10037,2024-08-07,C1393,P1045,M101,5,267.63,0.1,194.69
O10037,2024-08-07,C1393,P1031,M101,1,162.36,0.1,92.11
O10038,2025-06-25,C1008,P1078,M104,5,541.6,0.0,416.21
O10039,2025-07-22,C1372,P1052,M101,5,100.57,0.0,62.09
O10039,2025-07-22,C1372,P1087,M101,3,138.22,0.0,70.95
O10039,2025-07-22,C1372,P1074,,2,863.51,0.0,517.0
O10040,2025-07-10,C1199,P1062,M102,1,555.35,0.1,324.56
O10040,2025-07-10,C1199,P1027,M102,4,378.96,0.1,271.72
O10041,2024-06-20,C1356,P1008,M102,2,537.28,0.2,304.13
O10041,2024-06-20,C1356,P1112,M102,5,895.54,0.2,676.46
O10041,2024-06-20,C1356,P1059,M102,5,485.78,0.2,375.0
O10042,2024-12-07,C1317,P1037,M101,3,354.33,0.05,234.97
O10042,2024-12-07,C1317,P1051,M101,5,274.36,0.1,208.64
O10042,2024-12-07,C1317,P1009,M101,4,852.08,0.1,467.04
O10042,2024-12-07,C1317,P1077,M101,5,838.64,0.0,653.32
O10043,2024-04-24,C1480,P1066,M101,4,622.43,0.15,340.83
O10043,2024-04-24,C1480,P1063,M101,3,961.7,0.0,489.29
O10043,2024-04-24,C1480,P1111,M101,2,137.58,0.1,78.23
O10043,2024-04-24,C1480,P1003,M101,2,819.79,0.2,534.7
O10044,2024-05-22,C1345,P1096,M100,2,294.17,0.1,233.68
O10044,2024-05-22,C1345,P1110,M100,1,124.69,0.05,86.06
O10044,2024-05-22,C1345,P1026,M100,5,782.05,0.1,569.57
O10045,2025-07-17,C1162,P1008,M106,2,437.92,0.05,263.87
O10045,2025-07-17,C1162,P1042,M106,4,187.7,0.2,99.62
O10045,2025-07-17,C1162,P1089,M106,4,182.02,0.15,94.71
O10045,2025-07-17,C1162,P1043,M106,3,174.71,0.15,90.89
O10046,2025-04-03,C1300,P1092,M106,2,478.84,0.05,250.15
O10046,2025-04-03,C1300,P1024,M106,2,872.82,0.2,553.18
O10046,2025-04-03,C1300,P1090,M106,3,138.79,0.2,85.37
O10046,2025-04-03,C1300,P1116,M106,5,31.9,0.1,18.37
O10047,2025-04-04,C1247,P1105,M100,2,167.35,0.05,133.74
O10047,2025-04-04,C1247,P1118,M100,1,111.17,0.0,61.04
O10047,2025-04-04,C1247,P1102,M100,5,696.75,0.15,523.94
O10048,2024-04-26,C1376,P1017,M106,4,657.97,0.1,500.33
O10048,2024-04-26,C1376,P1030,M106,4,40.99,0.2,32.1
O10049,2024-10-02,C1248,P1102,M107,5,642.14,0.1,373.9
O10049,2024-10-02,C1248,P1106,M107,3,318.83,0.05,244.93
O10050,2024-08-25,C1016,P1007,M106,2,220.97,0.0,153.68
O10051,2025-11-26,C1449,P1034,M101,4,567.12,0.15,364.07
O10051,2025-11-26,C1449,P1074,M101,4,193.67,0.0,102.13
O10051,2025-11-26,C1449,P1018,M101,3,846.34,0.15,427.71
O10052,2025-03-17,C1318,P1078,M100,5,139.93,0.2,108.24
O10052,2025-03-17,C1318,P1001,M100,2,620.48,0.0,310.47
O10052,2025-03-17,C1318,P1013,M100,1,611.23,0.15,384.52
O10052,2025-03-17,C1318,P1055,M100,1,169.22,0.2,98.27
O10053,2025-08-28,C1456,P1109,M102,3,984.51,0.0,495.69
O10053,2025-08-28,C1456,P1112,M102,2,683.65,0.05,440.26
O10053,2025-08-28,C1456,P1008,M102,3,698.03,0.0,548.51
O10054,2024-03-18,C1290,P1016,M101,1,49.22,0.1,26.16
O10054,2024-03-18,C1290,P1033,M101,1,111.76,0.15,79.43
O10054,2024-03-18,C1290,P1026,M101,2,778.05,0.05,465.23
O10054,2024-03-18,C1290,P1114,M101,2,538.9,0.0,326.14
O10055,2025-03-06,C1389,P1079,M106,1,826.27,0.05,511.52
O10055,2025-03-06,C1389,P1054,M106,2,977.69,0.05,691.07
O10055,2025-03-06,C1389,P1090,M106,2,823.23,0.05,452.98
O10056,2024-03-30,C1399,P1106,M102,1,952.03,0.2,677.79
O10056,2024-03-30,C1399,P1079,M102,1,936.85,0.0,667.71
O10056,2024-03-30,C1399,P1069,M102,2,629.05,0.15,378.58
O10056,2024-03-30,C1399,P1073,M102,3,489.55,0.1,376.19
O10057,2025-11-25,C1192,P1059,M102,4,601.5,0.05,387.53
O10057,2025-11-25,C1192,P1034,M102,1,172.36,0.1,123.66
O10057,2025-11-25,C1192,P1080,M102,4,254.63,0.2,163.93
O10058,2025-05-28,C1250,P1042,M106,3,227.02,0.15,164.2
O10058,2025-05-28,C1250,P1012,M106,5,791.8,0.1,434.3
O10058,2025-05-28,C1250,P1041,M106,2,656.73,0.2,524.66
O10059,2024-01-07,C1410,P1028,M102,1,498.34,0.15,279.0
O10059,2024-01-07,C1410,P1053,M102,3,228.36,0.0,171.76
O10059,2024-01-07,C1410,P1029,M102,1,869.59,0.05,628.55
O10059,2024-01-07,C1410,P1020,M102,4,632.48,0.15,386.64
O10060,2024-12-07,C1418,P1084,M102,4,509.8,0.05,387.5
O10061,2024-12-19,C1101,P1054,M103,1,444.23,0.2,274.82
O10061,2024-12-19,C1101,P1040,M103,4,874.69,0.05,645.42
O10061,2024-12-19,C1101,P1090,M103,2,992.21,0.05,767.68
O10061,2024-12-19,C1101,P1011,M103,4,390.01,0.05,268.9
O10062,2024-09-27,C1211,P1009,M104,1,140.25,0.15,108.37
O10062,2024-09-27,C1211,P1113,M104,2,245.17,0.05,135.9
O10062,2024-09-27,C1211,P1022,M104,5,78.44,0.0,45.04
O10063,2024-09-05,C1243,P1046,M103,4,410.97,0.0,287.18
O10063,2024-09-05,C1243,P1119,M103,1,397.17,0.0,246.13
O10064,2024-09-13,C1290,P1057,M102,3,660.17,0.0,483.27
O10065,2025-05-21,C1263,P1075,M105,4,970.12,0.1,742.25
O10065,2025-05-21,C1263,P1012,M105,2,454.29,0.15,340.11
O10065,2025-05-21,C1263,P1025,M105,1,454.94,0.1,356.93
O10066,2025-12-15,C1386,P1042,M106,1,175.37,0.15,107.64
O10066,2025-12-15,C1386,P1021,M106,3,739.04,0.2,487.81
O10067,2024-01-26,C1044,P1033,M101,1,845.73,0.15,536.12
O10067,2024-01-26,C1044,P1062,M101,4,544.51,0.15,316.32
O10068,2025-11-04,C1080,P1005,M106,2,131.74,0.2,102.89
O10068,2025-11-04,C1080,P1116,M106,5,643.6,0.1,409.11
O10068,2025-11-04,C1080,P1035,M106,5,97.67,0.0,63.7
O10068,2025-11-04,C1080,P1099,M106,4,156.86,0.2,101.01
O10069,2024-02-26,C1203,P1033,M103,3,14.89,0.05,8.89
O10069,2024-02-26,C1203,P1089,M103,5,869.24,0.1,562.1
O10070,2024-11-16,C1049,P1088,M101,4,536.92,0.2,291.58
O10071,2024-06-01,C1093,P1091,M104,2,209.83,0.05,116.77
O10071,2024-06-01,C1093,P1027,M104,5,449.31,0.2,354.51
O10071,2024-06-01,C1093,P1017,M104,2,665.02,0.05,407.18
O10072,2025-10-30,C1448,P1076,M101,2,251.71,0.05,191.47
O10072,2025-10-30,C1448,P1044,M101,1,40.08,0.0,28.33
O10072,2025-10-30,C1448,P1097,M101,1,604.6,0.2,423.28
O10072,2025-10-30,C1448,P1069,M101,1,115.53,0.15,63.29
O10073,2024-10-14,C1145,P1021,M101,1,867.77,0.0,660.57
O10073,2024-10-14,C1145,P1111,M101,1,99.58,0.0,53.05
O10073,2024-10-14,C1145,P1054,M101,2,410.1,0.15,287.18
O10074,2024-01-28,C1137,P1098,M106,2,764.66,0.0,455.09
O10074,2024-01-28,C1137,P1033,M106,5,819.66,0.0,490.58
O10075,2024-01-22,C1029,P1069,M103,1,372.8,0.2,228.95
O10075,2024-01-22,C1029,P1103,M103,5,454.21,0.0,301.46
O10076,2025-06-27,C1227,P1114,M101,3,235.0,0.05,158.89
O10076,2025-06-27,C1227,P1075,M101,2,761.75,0.0,467.67
O10077,2024-01-06,C1198,P1015,M106,2,951.96,0.05,612.83
O10077,2024-01-06,C1198,P1018,M106,5,815.63,0.0,500.84
O10078,2025-06-10,C1451,P1036,M104,2,531.36,0.15,341.67
O10079,2025-11-18,C1210,P1081,M103,3,767.23,0.05,548.3
O10079,2025-11-18,C1210,P1076,M103,3,28.05,0.1,14.09
O10079,2025-11-18,C1210,P1112,M103,5,899.05,0.0,626.11
O10080,2025-07-10,C1398,P1049,M101,3,69.66,0.2,44.84
O10080,2025-07-10,C1398,P1080,M101,3,110.41,0.2,75.65
O10081,2025-06-21,C1180,P1093,M106,5,292.02,0.1,227.45
O10081,2025-06-21,C1180,P1066,M106,4,543.77,0.05,371.45
O10081,2025-06-21,C1180,P1042,M106,2,405.91,0.2,253.31
O10082,2025-11-10,C1356,P1106,M106,1,527.26,0.15,292.33
O10082,2025-11-10,C1356,P1101,M106,5,192.74,0.0,129.17
O10083,2024-04-19,C1089,P1116,M101,2,918.57,0.15,592.54
O10083,2024-04-19,C1089,P1061,M101,1,379.77,0.2,262.02
O10084,2025-11-23,C1063,P1024,M103,3,12.56,0.2,9.61
O10084,2025-11-23,C1063,P1081,M103,1,795.81,0.05,439.63
O10085,2025-02-05,C1266,P1090,M107,1,841.46,0.0,480.53
O10086,2025-12-03,C1388,P1099,M102,5,309.04,0.1,233.43
O10086,2025-12-03,C1388,P1009,M102,2,811.43,0.1,557.58
O10086,2025-12-03,C1388,P1002,M102,1,429.71,0.2,236.51
O10086,2025-12-03,C1388,P1074,M102,3,870.57,0.0,491.89
O10087,2025-04-05,C1294,P1112,M105,1,186.66,0.2,129.28
O10088,2025-02-06,C1371,P1030,M107,4,214.12,0.1,121.96
O10088,2025-02-06,C1371,P1021,M107,5,598.53,0.0,476.63
O10089,2025-11-01,C1266,P1083,M103,3,601.08,0.05,373.45
O10089,2025-11-01,C1266,P1089,M103,5,720.42,0.0,363.63
O10089,2025-11-01,C1266,P1048,M103,4,820.52,0.15,588.56
O10089,2025-11-01,C1266,P1063,M103,2,906.47,0.2,474.83
O10090,2025-04-20,C1419,P1116,M103,5,895.25,0.1,555.37
O10091,2024-09-25,C1065,P1011,M104,1,234.39,0.0,160.59
O10091,2024-09-25,C1065,P1038,M104,5,523.87,0.05,367.17
O10091,2024-09-25,C1065,P1067,M104,4,241.37,0.2,140.32
O10092,2025-12-13,C1003,P1082,M101,2,683.33,0.15,408.15
O10092,2025-12-13,C1003,P1075,M101,3,198.42,0.05,158.39
O10092,2025-12-13,C1003,P1070,M101,2,369.31,0.1,265.61
O10092,2025-12-13,C1003,P1109,M101,4,69.54,0.15,36.62
O10093,2025-12-17,C1090,P1051,M104,5,183.55,0.0,101.16
O10093,2025-12-17,C1090,P1056,M104,2,105.71,0.0,78.92
O10093,2025-12-17,C1090,P1014,M104,4,354.1,0.15,281.29
O10093,2025-12-17,C1090,P1063,M104,3,927.91,0.2,497.31
O10094,2025-10-08,C1004,P1035,M102,3,160.89,0.2,116.03
O10095,2024-10-30,C1191,P1050,M101,4,251.22,0.2,132.61
O10096,2025-04-18,C1288,P1116,M102,2,790.02,0.0,539.22
O10096,2025-04-18,C1288,P1111,M102,4,784.21,0.05,406.95
O10096,2025-04-18,C1288,P1042,M102,4,310.1,0.05,186.84
O10096,2025-04-18,C1288,P1099,M102,1,96.77,0.1,55.33
O10097,2024-01-10,C1289,P1114,M100,1,312.47,0.15,182.45
O10097,2024-01-10,C1289,P1055,M100,2,604.59,0.1,444.91
O10097,2024-01-10,C1289,P1058,M100,4,852.91,0.05,554.69
O10098,2024-04-23,C1267,P1065,M102,1,125.2,0.05,86.19
O10098,2024-04-23,C1267,P1023,M102,2,869.38,0.1,640.74
O10099,2025-01-01,C1383,P1073,M105,4,820.55,0.2,415.91
O10099,2025-01-01,C1383,P1066,M105,3,698.0,0.05,549.46
O10100,2025-06-25,C1095,P1085,M106,2,644.56,0.0,433.5
O10100,2025-06-25,C1095,P1020,M106,5,863.39,0.15,588.76
O10100,2025-06-25,C1095,P1113,M106,1,610.19,0.2,363.22
O10100,2025-06-25,C1095,P1101,M106,3,404.68,0.0,283.23
O10101,2024-03-17,C1453,P1060,M100,2,77.49,0.05,50.51
O10101,2024-03-17,C1453,P1035,M100,4,89.17,0.15,70.42
O10101,2024-03-17,C1453,P1119,M100,4,318.7,0.15,201.37
O10102,2025-05-22,C1269,P1037,M101,4,852.93,0.2,430.99
O10102,2025-05-22,C1269,P1064,M101,2,653.7,0.1,402.64
O10103,2025-09-12,C1189,P1067,M105,5,782.95,0.05,441.21
O10103,2025-09-12,C1189,P1065,M105,3,756.71,0.0,476.05
O10103,2025-09-12,C1189,P1063,M105,1,150.83,0.0,110.83
O10103,2025-09-12,C1189,P1042,M105,3,185.99,0.15,127.48
O10104,2025-10-18,C1111,P1023,M104,4,996.73,0.0,567.93
O10104,2025-10-18,C1111,P1039,M104,4,313.19,0.15,218.2
O10105,2024-08-29,C1286,P1081,M102,2,139.4,0.15,86.63
O10105,2024-08-29,C1286,P1078,M102,5,360.69,0.1,225.16
O10105,2024-08-29,C1286,P1014,M102,5,393.21,0.2,197.91
O10106,2024-08-23,C1446,P1113,M103,2,142.47,0.2,72.06
O10106,2024-08-23,C1446,P1025,M103,5,762.69,0.05,424.75
O10106,2024-08-23,C1446,P1077,M103,5,223.05,0.2,167.35
O10106,2024-08-23,C1446,P1115,M103,5,976.12,0.05,506.98
O10107,2024-12-18,C1459,P1024,M100,4,377.69,0.0,250.93
O10107,2024-12-18,C1459,P1082,M100,5,845.91,0.2,546.86
O10107,2024-12-18,C1459,P1026,M100,4,866.01,0.15,602.32
O10108,2024-12-10,C1018,P1084,M105,3,382.13,0.15,289.6
O10108,2024-12-10,C1018,P1073,M105,2,787.17,0.2,425.03
O10109,2025-09-03,C1255,P1047,M106,1,662.11,0.0,467.74
O10109,2025-09-03,C1255,P1023,M106,4,85.65,0.0,64.43
O10110,2025-01-26,C1397,P1072,M107,2,260.53,0.2,194.76
O10111,2025-12-09,C1244,P1054,M103,2,392.49,0.0,268.53
O10111,2025-12-09,C1244,P1045,M103,4,456.11,0.2,248.6
O10111,2025-12-09,C1244,P1015,M103,4,517.1,0.2,265.97
O10112,2024-06-20,C1072,P1095,M105,1,748.75,0.0,390.57
O10113,2024-08-27,C1406,P1076,M103,3,21.99,0.2,14.35
O10113,2024-08-27,C1406,P1094,M103,2,467.33,0.15,282.69
O10114,2024-10-06,C1213,P1076,M102,3,664.76,0.15,403.15
O10114,2024-10-06,C1213,P1108,M102,2,107.41,0.05,54.38
O10115,2024-07-09,C1287,P1068,M104,4,899.91,0.0,713.45
O10115,2024-07-09,C1287,P1044,M104,2,20.32,0.15,13.91
O10115,2024-07-09,C1287,P1079,M104,1,647.47,0.05,416.63
O10116,2025-11-19,C1141,P1035,M104,2,328.99,0.15,193.4
O10116,2025-11-19,C1141,P1071,M104,2,605.86,0.2,470.2
O10117,2024-08-17,C1308,P1084,M107,4,165.07,0.05,99.29
O10118,2024-10-05,C1076,P1057,M101,2,232.37,0.0,142.4
O10119,2024-03-23,C1275,P1055,M100,4,394.77,0.05,309.07
O10120,2024-03-21,C1345,P1078,M106,4,130.29,0.1,99.81
O10120,2024-03-21,C1345,P1078,M106,5,293.05,0.0,169.25
O10121,2024-08-31,C1024,P1038,M107,2,639.71,0.2,507.62
O10121,2024-08-31,C1024,P1078,M107,4,63.32,0.1,36.78
O10121,2024-08-31,C1024,P1092,M107,4,52.74,0.05,28.08
O10122,2025-05-24,C1427,P1117,M103,5,728.72,0.1,575.35
O10122,2025-05-24,C1427,P1033,M103,3,159.17,0.15,114.58
O10123,2024-05-05,C1011,P1071,M102,3,760.6,0.0,496.3
O10123,2024-05-05,C1011,P1027,M102,3,160.05,0.15,110.58
O10124,2025-08-16,C1202,P1017,M107,5,168.47,0.05,112.44
O10124,2025-08-16,C1202,P1050,M107,1,744.29,0.1,593.6
O10125,2025-12-23,C1107,P1018,M104,3,407.48,0.05,284.12
O10125,2025-12-23,C1107,P1060,M104,1,559.53,0.1,311.33
O10125,2025-12-23,C1107,P1077,M104,1,381.51,0.0,254.19
O10125,2025-12-23,C1107,P1058,M104,2,763.38,0.15,552.47
O10126,2024-04-18,C1258,P1104,M106,1,958.49,0.0,674.31
O10126,2024-04-18,C1258,P1097,M106,3,843.55,0.1,673.91
O10126,2024-04-18,C1258,P1109,M106,4,391.52,0.15,280.57
O10126,2024-04-18,C1258,P1061,M106,3,146.44,0.2,73.3
O10127,2025-07-07,C1166,P1035,M106,5,38.78,0.15,21.5
O10127,2025-07-07,C1166,P1119,M106,5,102.06,0.15,66.65
O10127,2025-07-07,C1166,P1017,M106,3,74.21,0.05,49.61
O10127,2025-07-07,C1166,P1003,M106,4,62.28,0.05,42.34
O10128,2025-12-14,C1448,P1009,M102,3,277.12,0.15,165.34
O10129,2024-04-18,C1147,P1071,M102,3,67.97,0.2,49.2
O10129,2024-04-18,C1147,P1020,M102,2,710.6,0.15,465.57
O10130,2024-04-07,C1430,P1024,M102,5,155.98,0.0,98.3
O10130,2024-04-07,C1430,P1016,M102,2,377.71,0.0,256.64
O10130,2024-04-07,C1430,P1077,M102,3,768.92,0.0,599.71
O10131,2025-06-06,C1014,P1025,M100,5,181.75,0.15,117.93
O10132,2024-05-09,C1192,P1077,M102,3,689.05,0.15,423.87
O10133,2024-11-13,C1218,P1007,M106,1,950.81,0.2,528.03
O10133,2024-11-13,C1218,P1088,M106,5,979.85,0.1,497.63
O10134,2024-03-31,C1084,P1008,M102,1,589.95,0.2,418.45
O10134,2024-03-31,C1084,P1070,M102,3,305.74,0.2,158.02
O10134,2024-03-31,C1084,P1030,M102,3,435.36,0.1,266.91
O10135,2025-12-25,C1185,P1108,M107,5,486.1,0.2,309.87
O10135,2025-12-25,C1185,P1117,M107,5,708.96,0.05,371.62
O10135,2025-12-25,C1185,P1016,M107,2,910.3,0.0,457.07
O10135,2025-12-25,C1185,P1010,M107,1,167.32,0.15,90.25
O10136,2024-03-10,C1474,P1072,M104,1,753.86,0.0,593.28
O10136,2024-03-10,C1474,P1024,M104,4,54.15,0.15,31.55
O10136,2024-03-10,C1474,P1012,M104,4,789.26,0.05,459.02
O10137,2024-04-05,C1282,P1058,M101,2,846.34,0.15,462.88
O10137,2024-04-05,C1282,P1026,M101,4,43.28,0.15,29.69
O10138,2025-05-10,C1357,P1019,M102,3,147.85,0.15,87.91
O10138,2025-05-10,C1357,P1031,M102,3,353.87,0.05,254.69
O10138,2025-05-10,C1357,P1081,M102,3,963.76,0.2,496.99
O10138,2025-05-10,C1357,P1087,M102,4,789.84,0.0,512.09
O10139,2025-11-21,C1162,P1022,M103,5,263.96,0.1,189.4
O10139,2025-11-21,C1162,P1091,M103,5,569.68,0.1,337.6
O10140,2025-09-09,C1417,P1113,M100,5,612.44,0.0,339.85
O10141,2024-07-23,C1270,P1032,M100,1,159.73,0.15,99.89
O10142,2024-11-10,C1490,P1114,M100,1,852.11,0.0,559.85
O10143,2024-05-21,C1419,P1085,M101,5,235.14,0.15,168.56
O10143,2024-05-21,C1419,P1115,M101,1,793.78,0.0,526.32
O10143,2024-05-21,C1419,P1025,M101,2,489.85,0.2,265.64
O10144,2025-09-14,C1072,P1081,M106,1,672.33,0.05,510.03
O10144,2025-09-14,C1072,P1045,M106,3,654.46,0.15,339.46
O10144,2025-09-14,C1072,P1071,M106,4,362.41,0.1,186.85
O10144,2025-09-14,C1072,P1011,M106,1,209.35,0.2,115.02
O10145,2024-05-11,C1027,P1017,M101,4,759.18,0.2,529.82
O10145,2024-05-11,C1027,P1084,M101,4,871.87,0.1,683.54
O10145,2024-05-11,C1027,P1037,M101,2,753.22,0.0,382.75
O10146,2025-11-21,C1498,P1052,M102,1,103.21,0.1,79.76
O10146,2025-11-21,C1498,P1009,M102,1,396.82,0.1,210.97
O10147,2025-04-16,C1486,P1072,M107,4,457.18,0.1,280.77
O10147,2025-04-16,C1486,P1093,M107,3,446.66,0.1,250.63
O10148,2025-11-04,C1289,P1045,M105,2,103.1,0.15,76.07
O10148,2025-11-04,C1289,P1069,M105,4,283.68,0.0,175.54
O10149,2024-08-14,C1036,P1000,M101,2,166.38,0.15,111.03
O10149,2024-08-14,C1036,P1114,M101,2,323.59,0.1,197.04
O10149,2024-08-14,C1036,P1032,M101,3,284.14,0.0,193.05
O10150,2025-10-26,C1484,P1085,M102,5,735.31,0.1,436.74
O10150,2025-10-26,C1484,P1090,M102,3,883.59,0.15,637.88
O10150,2025-10-26,C1484,P1073,M102,1,423.58,0.2,296.67
O10150,2025-10-26,C1484,P1081,M102,5,329.78,0.15,252.14
